,text,text_final
0,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
1,"['hey', '@', 'flysfo', 'your', 'lt', 'parking', 'is', 'awful', 'at', '$', '25', 'per', 'day', '-', 'fastrack', 'reader', 'not', 'working']","['lt', 'parking', 'awful', 'per', 'fastrack', 'reader']"
2,"['see', 'ya', '#', 'sanfran', 'you', 'were', 'a', 'good', 'little', 'break', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",['see']
3,"['avoid', 'roadway', 'congestion', 'and', 'conveniently', 'pick', 'up', 'your', 'family', 'or', 'friend', 'in', 'the', 'short-term', 'parking', 'garage', 'for', 'free', 'for', 'stays', 'of', '30', 'minutes', 'or', 'less', '.', 'to', 'learn', 'more', 'visit', 'http', ':', '//flysfo.com/express', '.', 'to', 'learn', 'more', 'visit', ':', 'https', ':', '//www.flysfo.com/media/press-releases/sfo-makes-short-term-parking-garages-free-stays-30-minutes-or-less', '…pic.twitter.com/mb5qjhcasn']","['parking', 'free', 'stay', 'minute', 'less']"
4,"['heyyyyyyy', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",['heyyyyyyy']
5,"['@', 'virginamerica', '@', 'alaskaair', 'merge', 'is', 'awful', '.', 'worst', 'ticketing', 'experience', 'ever', '.', '30', 'pssgrs', 'and', 'only', '4', 'of', 'them', 'had', 'assigned', 'seats', '!', 'website', 'is', 'still', 'selling', 'those', 'seats', '.', 'spent', '7', 'hours', 'w/', '8', 'reps', 'trying', 'to', 'figure', 'this', 'out', 'this', 'wk', '.', 'what', 'a', 'mess', 'when', 'we', 'get', 'to', '@', 'flysfo', '.']","['merge', 'awful', 'bad', 'experience', 'ever', 'pssgrs', 'assign', 'seat', 'website', 'still', 'seat', 'spend', 'hour', 'rep', 'wk']"
6,"['probably', 'because', 'they', 'do', ""n't"", 'use', '@', 'dandelionchoco', 'haha', '.']",['dandelionchoco']
7,"['oddly', 'the', 'only', 'flavor', 'i', 'am', 'not', 'a', '@', 'fan', 'of', 'is', 'chocolate', '-', 'but', 'the', 'rest', 'are', 'divine', 'indulgences']","['oddly', 'flavor', 'chocolate', 'rest', 'divine', 'indulgence']"
8,"['my', 'first', 'trip', 'to', 'canada', 'my', 'friend', 'introduced', 'them', 'to', 'me', 'because', 'she', 'always', 'got', 'them', 'before', 'school', '&', 'then', 'i', 'bothered', 'her', 'every', 'morning', 'to', 'get', 'some', '.']","['first', 'introduce', 'always', 'school', 'bother', 'every']"
9,"['omg', 'they', 'are', 'so', 'so', 'so', 'good', 'especially', 'when', 'traveling', 'at', '120', 'through', 'the', 'snow']",[]
10,"['timbits', 'and', 'ice', 'caps', '!']","['timbits', 'cap']"
