,Unnamed: 0,Unnamed: 0.1,text,text_final,topic,polarity,subjectivity
0,0,0,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[],0,0.0,0.0
2,2,2,"['see', 'ya', '#', 'sanfran', 'you', 'were', 'a', 'good', 'little', 'break', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",['see'],0,0.0,0.3666666666666667
4,4,4,"['heyyyyyyy', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",['heyyyyyyy'],0,0.0,0.0
6,6,6,"['probably', 'because', 'they', 'do', ""n't"", 'use', '@', 'dandelionchoco', 'haha', '.']",['dandelionchoco'],0,0.0,0.3
8,8,8,"['my', 'first', 'trip', 'to', 'canada', 'my', 'friend', 'introduced', 'them', 'to', 'me', 'because', 'she', 'always', 'got', 'them', 'before', 'school', '&', 'then', 'i', 'bothered', 'her', 'every', 'morning', 'to', 'get', 'some', '.']","['first', 'introduce', 'always', 'school', 'bother', 'every']",0,0.0,0.3333333333333333
9,9,9,"['omg', 'they', 'are', 'so', 'so', 'so', 'good', 'especially', 'when', 'traveling', 'at', '120', 'through', 'the', 'snow']",[],0,1.0,0.8
10,10,10,"['timbits', 'and', 'ice', 'caps', '!']","['timbits', 'cap']",0,0.0,0.0
12,12,12,"['how', 'fun', '!', '!', 'have', 'a', 'good', 'trip', '!', '#', 'travel', '#', 'california']",[],0,1.0,0.4
16,16,16,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[],0,0.0,0.0
17,17,17,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[],0,0.0,0.0
20,20,20,"['safe', 'travels', 'jennifer']",[],0,1.0,0.5
22,22,22,"['i', '’', 'm', 'at', '@', 'flysfo', 'headed', 'to', '@', 'flylaxairport', '!', 'see', 'you', 'in', 'the', 'air', '!', ';', ')']",['see'],0,0.0,0.0
31,31,31,"['we', '’', 're', 'finally', 'back', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",['back'],0,0.0,0.0
32,32,32,"['i', '’', 'll', 'investigate', 'when', 'i', 'visit', '!']",[],0,0.0,0.0
33,33,33,"['at', '@', 'flysfo', '[', 'pic', ']', '—', 'https', ':', '//path.com/p/xnehm']",[],0,0.0,0.0
34,34,34,"['sfo-phl-yul', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[],0,0.0,0.0
35,35,35,"['play', 'del', 'carmen']","['del', 'carmen']",0,0.0,0.0
37,37,37,"['back', 'home', '.', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",['back'],0,0.0,0.0
38,38,38,"['back', 'in', 'the', 'sf', 'bay', '@', 'flysfo', '@', 'southwestair']",['back'],0,0.0,0.0
39,39,39,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[],0,0.0,0.0
40,40,40,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[],0,0.0,0.0
41,41,41,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[],0,0.0,0.0
45,45,45,"['real', 'id-', 'new', 'id', 'requirements', 'effective', 'january', '22']",[],0,1.0,0.740909090909091
46,46,46,"['off', 'for', 'an', 'end', 'of', 'year', 'adventure', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[],0,0.0,0.0
49,49,49,"['about', 'to', 'board', '!', 'pic.twitter.com/vvcqvc29rf']",[],0,0.0,0.0
50,50,50,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[],0,0.0,0.0
51,51,51,"['vegas', 'bound', '!', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[],0,0.0,0.0
52,52,52,"['#', 'fbf', 'to', '1971', 'and', 'the', 'first', '@', 'united', 'mcdonnell', 'douglas', 'dc-10', '(', '@', 'flysfo', ')', 'pic.twitter.com/l3eyru8sph']","['fbf', 'first', 'mcdonnell', 'douglas']",0,0.0,0.3333333333333333
53,53,53,['yes'],[],0,0.0,0.0
54,54,54,"['hey', '@', 'flysfo']",[],0,0.0,0.0
57,57,57,"['look', 'at', 'that', '!', 'los', 'angeles', 'has', 'bicycle', 'ambulances', '!', 'i', 'had', 'no', 'idea', '.', 'what', 'about', 'you']","['bicycle', 'ambulance']",0,0.0,0.0
58,58,58,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[],0,0.0,0.0
59,59,59,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[],0,0.0,0.0
60,60,60,"['i', 'can', 'see', 'my', 'house', '!']",['see'],0,0.0,0.0
61,61,61,"['what', 'is', 'your', 'new', 'year', ""'s"", 'resolution', '?', 'pic.twitter.com/uoevmjswoz']",['resolution'],0,0.0,0.45454545454545453
62,62,62,"['https', ':', '//www.airplane-pictures.net/photo/1006029/airport-overview-airport-overview-terminal-building/', '…', 'here', 'you', 'can', 'see', '@', 'flysfo', 'from', 'above', 'as', 'we', 'passed', 'it', 'at', '1800ft', 'the', 'other', 'day', '!']","['see', 'pass']",0,0.0,0.2375
63,63,63,"['third', ':', 'welcoming', 'the', '@', 'airbus', 'a321neo', 'on', 'its', 'first', 'ever', 'revenue', 'flight', 'from', '@', 'flysfo', 'to', '@', 'reagan_airportpic.twitter.com/bzyi2fg3kl']","['third', 'first', 'ever']",0,0.0,0.16666666666666666
64,64,64,"['got', 'ta', 'get', '@', 'clear', '#', 'lifesaver']",['lifesaver'],0,0.0,0.3833333333333333
65,65,65,"['serenaded', 'upon', 'landing', '.', '@', 'southwest', 'knows', 'how', 'to', 'keep', 'it', 'interesting', 'even', 'in', 'the', 'am', '.', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']","['serenade', 'upon', 'keep', 'interest', 'even']",0,0.0,0.25
66,66,66,['damn'],[],0,0.0,0.0
68,68,68,"['uh', 'wut']","['uh', 'wut']",0,0.0,0.0
72,72,72,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[],0,0.0,0.0
73,73,73,"['the', 'party', 'started', '?', '#', 'airporttwitterpic.twitter.com/nf2xwvhwpf']",[],0,0.0,0.0
