,words,counts
0,delay,866.0
1,terminal,866.0
2,time,761.0
3,hour,628.0
4,gate,533.0
5,thanks,519.0
6,great,450.0
7,wait,447.0
8,people,423.0
9,love,415.0
10,thank,354.0
11,service,350.0
12,line,321.0
13,tsa,293.0
14,leave,273.0
15,check,268.0
16,minute,265.0
17,security,246.0
18,stop,235.0
19,bad,234.0
20,passenger,223.0
21,arrive,220.0
22,nice,215.0
23,bag,190.0
24,arrival,183.0
25,open,163.0
26,min,162.0
27,best,160.0
28,lounge,158.0
29,free,151.0
30,close,147.0
31,late,143.0
32,drink,138.0
33,stay,137.0
34,departure,130.0
35,beautiful,127.0
36,customsborder,127.0
37,enjoy,127.0
38,airtrain,120.0
39,experience,120.0
40,room,116.0
41,stand,114.0
42,baggage,111.0
43,food,109.0
44,info,103.0
45,run,103.0
46,yoga,103.0
47,exhibit,99.0
48,staff,99.0
49,station,98.0
50,uber,91.0
51,feel,90.0
52,claim,85.0
53,bart,83.0
54,immigration,83.0
55,control,82.0
56,park,81.0
57,quick,77.0
58,expect,76.0
59,seat,76.0
60,sfbart,76.0
61,parking,75.0
62,amazing,73.0
63,crowd,73.0
64,rental,73.0
65,water,72.0
66,art,71.0
67,nonstop,71.0
68,pay,71.0
69,access,70.0
70,custom,70.0
71,train,66.0
72,favorite,64.0
73,lyft,64.0
74,business,63.0
75,drop,62.0
76,luggage,62.0
77,walk,62.0
78,immigrant,61.0
79,major,61.0
80,option,60.0
81,sfomuseum,58.0
82,fix,53.0
83,connect,52.0
84,employee,52.0
85,local,52.0
86,officer,52.0
87,public,52.0
88,short,52.0
89,shuttle,52.0
90,layover,51.0
91,wifi,51.0
92,connection,50.0
93,available,49.0
94,class,49.0
95,spend,49.0
96,pass,48.0
97,easy,46.0
98,pickup,46.0
99,taxi,46.0
100,club,44.0
101,delayed,43.0
102,hard,43.0
103,slow,43.0
104,checkpoint,42.0
105,coffee,42.0
106,super,42.0
107,charge,41.0
108,bus,39.0
109,busy,39.0
110,counter,39.0
111,display,39.0
112,term,39.0
113,terrible,39.0
114,beer,37.0
115,bar,36.0
116,design,36.0
117,eat,36.0
118,fast,36.0
119,process,36.0
120,appreciate,35.0
121,high,35.0
122,cheer,34.0
123,samtrans,34.0
124,care,32.0
125,huge,32.0
126,buy,31.0
127,space,31.0
128,confirm,30.0
129,friendly,30.0
130,police,30.0
131,safely,30.0
132,fine,29.0
133,location,29.0
134,safety,29.0
135,speak,29.0
136,special,29.0
137,breakfast,28.0
138,list,28.0
139,maintenance,28.0
140,rude,28.0
141,transit,28.0
142,horrible,27.0
143,lovely,27.0
144,rest,27.0
145,restaurant,27.0
146,shout,27.0
147,fantastic,26.0
148,helpful,26.0
149,lead,26.0
150,desk,25.0
151,exactly,25.0
152,serve,25.0
153,apply,24.0
154,large,24.0
155,perfect,24.0
156,queue,24.0
157,screen,24.0
158,boarding,23.0
159,carousel,23.0
160,information,23.0
161,interesting,23.0
162,wall,23.0
163,border,22.0
164,inbound,22.0
165,item,22.0
166,reach,22.0
167,attendant,21.0
168,cargo,21.0
169,daughter,21.0
170,duty,21.0
171,exhibition,21.0
172,rent,21.0
173,shop,21.0
174,departs,20.0
175,hall,20.0
176,important,20.0
177,laptop,20.0
178,livery,20.0
179,outlet,20.0
180,receive,20.0
181,store,20.0
182,choice,19.0
183,complain,19.0
184,left,19.0
185,music,19.0
186,regular,19.0
187,bathroom,18.0
188,cheap,18.0
189,cost,18.0
190,faster,18.0
191,guest,18.0
192,incredible,18.0
193,peace,18.0
194,row,18.0
195,star,18.0
196,suitcase,18.0
197,transportation,18.0
198,challenge,17.0
199,clean,17.0
200,floor,17.0
201,healthy,17.0
202,medium,17.0
203,money,17.0
204,normal,17.0
205,passport,17.0
206,snack,17.0
207,wine,17.0
208,animal,16.0
209,attention,16.0
210,carrier,16.0
211,chill,16.0
212,courtesy,16.0
213,cross,16.0
214,facility,16.0
215,pizza,16.0
216,reduce,16.0
217,search,16.0
218,strike,16.0
219,tax,16.0
220,usual,16.0
221,wheelchair,16.0
222,belt,15.0
223,cnn,15.0
224,deliver,15.0
225,dinner,15.0
226,economy,15.0
227,excellent,15.0
228,excuse,15.0
229,giant,15.0
230,gold,15.0
231,immediately,15.0
232,kiosk,15.0
233,likely,15.0
234,market,15.0
235,onboard,15.0
236,private,15.0
237,remove,15.0
238,scheduled,15.0
239,signage,15.0
240,truly,15.0
241,burger,14.0
242,caltrain,14.0
243,chair,14.0
244,destination,14.0
245,honestly,14.0
246,justice,14.0
247,lock,14.0
248,planning,14.0
249,plenty,14.0
250,relax,14.0
251,response,14.0
252,restroom,14.0
253,roll,14.0
254,straight,14.0
255,winner,14.0
256,artist,13.0
257,code,13.0
258,comment,13.0
259,customerservice,13.0
260,device,13.0
261,expedite,13.0
262,extremely,13.0
263,fed,13.0
264,field,13.0
265,image,13.0
266,lunch,13.0
267,path,13.0
268,peaceful,13.0
269,sandwich,13.0
270,sense,13.0
271,thought,13.0
272,tom,13.0
273,triple,13.0
274,tsaprecheck,13.0
275,ty,13.0
276,website,13.0
277,apologize,12.0
278,arrest,12.0
279,assist,12.0
280,bonus,12.0
281,clearly,12.0
282,confuse,12.0
283,credit,12.0
284,decent,12.0
285,disappointed,12.0
286,enroute,12.0
287,fare,12.0
288,freedom,12.0
289,governor,12.0
290,main,12.0
291,milk,12.0
292,online,12.0
293,outdoor,12.0
294,personal,12.0
295,piece,12.0
296,price,12.0
297,reopen,12.0
298,resident,12.0
299,result,12.0
300,screening,12.0
301,smart,12.0
302,visa,12.0
303,agency,11.0
304,airindiain,11.0
305,asktsa,11.0
306,benefit,11.0
307,capacity,11.0
308,cat,11.0
309,chase,11.0
310,contract,11.0
311,correct,11.0
312,expensive,11.0
313,flew,11.0
314,highlight,11.0
315,holder,11.0
316,involve,11.0
317,leader,11.0
318,longer,11.0
319,meetup,11.0
320,noon,11.0
321,overhead,11.0
322,recent,11.0
323,rescue,11.0
324,smile,11.0
325,social,11.0
326,suspect,11.0
327,taste,11.0
328,thankful,11.0
329,thepointsguy,11.0
330,thrill,11.0
331,type,11.0
332,upper,11.0
333,yell,11.0
334,yvr,11.0
335,achieve,10.0
336,arocbayarea,10.0
337,assistance,10.0
338,attend,10.0
339,awful,10.0
340,beauty,10.0
341,box,10.0
342,burlingame,10.0
343,carry,10.0
344,checkin,10.0
345,concern,10.0
346,connector,10.0
347,coverage,10.0
348,deep,10.0
349,difference,10.0
350,difficult,10.0
351,ensure,10.0
352,finger,10.0
353,flower,10.0
354,focus,10.0
355,friends,10.0
356,goodness,10.0
357,google,10.0
358,government,10.0
359,grateful,10.0
360,hungry,10.0
361,impress,10.0
362,inconvenience,10.0
363,incredibly,10.0
364,le,10.0
365,men,10.0
366,original,10.0
367,outage,10.0
368,premium,10.0
369,quickly,10.0
370,recommend,10.0
371,relief,10.0
372,rep,10.0
373,rideshare,10.0
374,sadly,10.0
375,school,10.0
376,shoot,10.0
377,shopping,10.0
378,sick,10.0
379,skip,10.0
380,slcairport,10.0
381,solution,10.0
382,standard,10.0
383,stupid,10.0
384,ton,10.0
385,torontopearson,10.0
386,traveltip,10.0
387,unbelievable,10.0
388,underway,10.0
389,vehicle,10.0
390,visitor,10.0
391,accommodate,9.0
392,active,9.0
393,attack,9.0
394,bike,9.0
395,broken,9.0
396,budget,9.0
397,burn,9.0
398,ceo,9.0
399,chinese,9.0
400,chocolate,9.0
401,cocktail,9.0
402,comfy,9.0
403,computer,9.0
404,crap,9.0
405,develop,9.0
406,eastern,9.0
407,economic,9.0
408,entrance,9.0
409,equipment,9.0
410,exercise,9.0
411,expand,9.0
412,form,9.0
413,frequent,9.0
414,fry,9.0
415,fucking,9.0
416,gather,9.0
417,gear,9.0
418,goal,9.0
419,impressive,9.0
420,industry,9.0
421,kqednews,9.0
422,lack,9.0
423,luxury,9.0
424,management,9.0
425,mural,9.0
426,net,9.0
427,nope,9.0
428,nowall,9.0
429,occur,9.0
430,oink,9.0
431,oops,9.0
432,paper,9.0
433,pleasant,9.0
434,practice,9.0
435,pray,9.0
436,promise,9.0
437,purchase,9.0
438,rainy,9.0
439,rare,9.0
440,recently,9.0
441,reminder,9.0
442,repeat,9.0
443,resolve,9.0
444,self,9.0
445,selfie,9.0
446,shall,9.0
447,shock,9.0
448,vibe,9.0
449,zone,9.0
450,ac,8.0
451,address,8.0
452,admiralsclub,8.0
453,aid,8.0
454,autograph,8.0
455,beginning,8.0
456,billion,8.0
457,blog,8.0
458,bother,8.0
459,burrito,8.0
460,bust,8.0
461,calm,8.0
462,comfortable,8.0
463,commercial,8.0
464,connecting,8.0
465,da,8.0
466,delight,8.0
467,descent,8.0
468,disappoint,8.0
469,discover,8.0
470,donate,8.0
471,entertainment,8.0
472,evaairus,8.0
473,exciting,8.0
474,explore,8.0
475,flyeug,8.0
476,freeze,8.0
477,frontier,8.0
478,gensleronwork,8.0
479,growth,8.0
480,halfway,8.0
481,heck,8.0
482,immigrationban,8.0
483,impressed,8.0
484,improvement,8.0
485,internet,8.0
486,interview,8.0
487,jetway,8.0
488,joy,8.0
489,king,8.0
490,lease,8.0
491,lee,8.0
492,lightning,8.0
493,liquid,8.0
494,marriott,8.0
495,mission,8.0
496,mistake,8.0
497,mspairport,8.0
498,nut,8.0
499,oct,8.0
500,opposite,8.0
501,pattern,8.0
502,permanent,8.0
503,piss,8.0
504,pr,8.0
505,print,8.0
506,professional,8.0
507,pump,8.0
508,reaction,8.0
509,rebook,8.0
510,regional,8.0
511,risk,8.0
512,roof,8.0
513,sanmateoco,8.0
514,scary,8.0
515,seek,8.0
516,select,8.0
517,sh,8.0
518,shortly,8.0
519,similar,8.0
520,simple,8.0
521,simply,8.0
522,smh,8.0
523,song,8.0
524,spending,8.0
525,st,8.0
526,sticker,8.0
527,stink,8.0
528,street,8.0
529,temporary,8.0
530,test,8.0
531,text,8.0
532,thankfully,8.0
533,tight,8.0
534,trade,8.0
535,transport,8.0
536,treatment,8.0
537,unique,8.0
538,useless,8.0
539,warn,8.0
540,worldwide,8.0
541,wrap,8.0
542,accept,7.0
543,activity,7.0
544,addition,7.0
545,aim,7.0
546,airborne,7.0
547,aka,7.0
548,alive,7.0
549,alternate,7.0
550,amenity,7.0
551,appear,7.0
552,apple,7.0
